#EEP   M/Mo  LogTeff   LogG  LogL/Lo     u       g       r       i       z  
 169  0.814591  3.7634  3.6764  0.6793  4.4005  3.4298  3.0627  2.9323  2.9818
 170  0.814900  3.7605  3.6570  0.6873  4.3992  3.4190  3.0427  2.9078  2.9539
 171  0.815198  3.7577  3.6376  0.6958  4.3965  3.4067  3.0216  2.8823  2.9252
 172  0.815482  3.7551  3.6183  0.7049  4.3919  3.3925  2.9991  2.8558  2.8956
 173  0.815750  3.7528  3.5993  0.7146  4.3850  3.3762  2.9753  2.8282  2.8652
 174  0.816002  3.7507  3.5809  0.7249  4.3752  3.3577  2.9501  2.7997  2.8343
 175  0.816238  3.7488  3.5630  0.7355  4.3628  3.3374  2.9238  2.7707  2.8030
 176  0.816461  3.7472  3.5456  0.7465  4.3482  3.3155  2.8968  2.7411  2.7715
 177  0.816672  3.7458  3.5288  0.7578  4.3315  3.2922  2.8690  2.7112  2.7399
 178  0.816873  3.7445  3.5123  0.7693  4.3134  3.2681  2.8408  2.6811  2.7083
 179  0.817067  3.7434  3.4964  0.7809  4.2940  3.2431  2.8122  2.6507  2.6767
 180  0.817254  3.7424  3.4806  0.7926  4.2739  3.2177  2.7833  2.6202  2.6449
 181  0.817436  3.7414  3.4650  0.8043  4.2531  3.1918  2.7542  2.5895  2.6131
 182  0.817643  3.7404  3.4473  0.8182  4.2277  3.1611  2.7201  2.5537  2.5761
 183  0.817848  3.7395  3.4296  0.8323  4.2014  3.1296  2.6852  2.5172  2.5383
 184  0.818051  3.7386  3.4119  0.8466  4.1739  3.0972  2.6496  2.4801  2.5001
 185  0.818254  3.7378  3.3942  0.8612  4.1454  3.0641  2.6135  2.4426  2.4616
 186  0.818455  3.7371  3.3767  0.8759  4.1160  3.0303  2.5771  2.4049  2.4229
 187  0.818656  3.7364  3.3592  0.8908  4.0857  2.9959  2.5403  2.3668  2.3840
 188  0.818856  3.7357  3.3417  0.9058  4.0549  2.9612  2.5031  2.3286  2.3449
 189  0.819055  3.7351  3.3241  0.9209  4.0236  2.9260  2.4657  2.2901  2.3056
 190  0.819253  3.7345  3.3066  0.9361  3.9917  2.8904  2.4280  2.2514  2.2662
 191  0.819451  3.7339  3.2892  0.9514  3.9594  2.8545  2.3902  2.2126  2.2266
 192  0.819649  3.7334  3.2718  0.9668  3.9265  2.8182  2.3521  2.1736  2.1870
 193  0.819845  3.7329  3.2542  0.9823  3.8932  2.7815  2.3136  2.1342  2.1470
 194  0.820040  3.7323  3.2366  0.9980  3.8594  2.7444  2.2748  2.0946  2.1067
 195  0.820235  3.7318  3.2188  1.0138  3.8249  2.7067  2.2356  2.0546  2.0661
 196  0.820427  3.7313  3.2009  1.0299  3.7900  2.6684  2.1958  2.0141  2.0249
 197  0.820618  3.7308  3.1827  1.0461  3.7546  2.6298  2.1556  1.9731  1.9833
 198  0.820809  3.7304  3.1647  1.0624  3.7187  2.5908  2.1152  1.9320  1.9417
 199  0.820995  3.7299  3.1461  1.0793  3.6813  2.5503  2.0734  1.8895  1.8986
 200  0.821177  3.7294  3.1268  1.0967  3.6430  2.5086  2.0302  1.8456  1.8541
 201  0.821354  3.7289  3.1069  1.1147  3.6035  2.4657  1.9858  1.8005  1.8083
 202  0.821525  3.7284  3.0864  1.1332  3.5627  2.4214  1.9400  1.7539  1.7611
 203  0.821690  3.7278  3.0651  1.1522  3.5216  2.3763  1.8930  1.7060  1.7124
