#EEP   M/Mo  LogTeff   LogG  LogL/Lo     u       g       r       i       z  
 154  1.034558  3.7404  4.0789  0.2888  6.2522  4.4902  3.9122  3.7562  3.8035
 155  1.036185  3.7394  4.0687  0.2955  6.2527  4.4795  3.8968  3.7389  3.7849
 156  1.037861  3.7381  4.0577  0.3021  6.2573  4.4704  3.8819  3.7216  3.7660
 157  1.039607  3.7365  4.0456  0.3085  6.2679  4.4636  3.8678  3.7046  3.7469
 158  1.041447  3.7344  4.0319  0.3147  6.2877  4.4607  3.8553  3.6882  3.7278
 159  1.043389  3.7316  4.0162  0.3200  6.3222  4.4643  3.8458  3.6736  3.7096
 160  1.045320  3.7280  3.9990  0.3235  6.3766  4.4778  3.8425  3.6635  3.6949
 161  1.046968  3.7239  3.9824  0.3246  6.4463  4.5012  3.8465  3.6599  3.6860
 162  1.048244  3.7200  3.9690  0.3229  6.5218  4.5313  3.8578  3.6637  3.6847
 163  1.049510  3.7153  3.9528  0.3209  6.6148  4.5687  3.8719  3.6688  3.6834
 164  1.050768  3.7098  3.9336  0.3186  6.7269  4.6144  3.8894  3.6754  3.6825
 165  1.052029  3.7038  3.9102  0.3182  6.8484  4.6618  3.9048  3.6784  3.6769
 166  1.053277  3.6978  3.8820  0.3230  6.9585  4.6981  3.9090  3.6700  3.6596
 167  1.054433  3.6928  3.8510  0.3345  7.0333  4.7110  3.8944  3.6448  3.6270
 168  1.055449  3.6892  3.8206  0.3508  7.0699  4.7020  3.8652  3.6075  3.5840
 169  1.056350  3.6865  3.7916  0.3697  7.0789  4.6780  3.8266  3.5629  3.5353
 170  1.057169  3.6846  3.7640  0.3899  7.0704  4.6447  3.7827  3.5145  3.4836
 171  1.057932  3.6831  3.7374  0.4110  7.0502  4.6055  3.7354  3.4637  3.4303
 172  1.058655  3.6820  3.7116  0.4324  7.0222  4.5622  3.6860  3.4114  3.3760
 173  1.059349  3.6810  3.6864  0.4542  6.9889  4.5163  3.6352  3.3583  3.3212
 174  1.060019  3.6802  3.6615  0.4761  6.9522  4.4685  3.5832  3.3044  3.2660
 175  1.060670  3.6796  3.6369  0.4982  6.9127  4.4193  3.5306  3.2501  3.2105
 176  1.061309  3.6790  3.6128  0.5204  6.8705  4.3690  3.4774  3.1955  3.1549
 177  1.061936  3.6785  3.5888  0.5426  6.8271  4.3179  3.4239  3.1407  3.0993
 178  1.062549  3.6780  3.5649  0.5648  6.7830  4.2665  3.3702  3.0857  3.0434
 179  1.063152  3.6776  3.5412  0.5871  6.7371  4.2143  3.3161  3.0306  2.9875
 180  1.063738  3.6772  3.5173  0.6095  6.6913  4.1618  3.2617  2.9751  2.9313
 181  1.064310  3.6767  3.4932  0.6321  6.6454  4.1091  3.2071  2.9193  2.8747
 182  1.064645  3.6764  3.4786  0.6457  6.6183  4.0776  3.1741  2.8856  2.8405
 183  1.064980  3.6761  3.4635  0.6597  6.5911  4.0454  3.1405  2.8511  2.8055
 184  1.065315  3.6758  3.4484  0.6738  6.5629  4.0127  3.1064  2.8163  2.7702
 185  1.065650  3.6755  3.4331  0.6880  6.5346  3.9797  3.0720  2.7812  2.7345
 186  1.065983  3.6752  3.4170  0.7029  6.5057  3.9456  3.0362  2.7444  2.6972
 187  1.066313  3.6748  3.3997  0.7188  6.4752  3.9091  2.9980  2.7052  2.6573
 188  1.066638  3.6744  3.3813  0.7357  6.4424  3.8702  2.9571  2.6633  2.6147
 189  1.066957  3.6740  3.3616  0.7537  6.4087  3.8294  2.9140  2.6190  2.5696
 190  1.067271  3.6735  3.3406  0.7730  6.3725  3.7856  2.8678  2.5716  2.5213
 191  1.067580  3.6729  3.3185  0.7930  6.3359  3.7405  2.8200  2.5223  2.4710
 192  1.067882  3.6723  3.2951  0.8142  6.2981  3.6931  2.7695  2.4702  2.4179
 193  1.068177  3.6717  3.2704  0.8364  6.2587  3.6436  2.7167  2.4157  2.3621
 194  1.068468  3.6710  3.2451  0.8591  6.2186  3.5929  2.6625  2.3597  2.3050
 195  1.068752  3.6703  3.2184  0.8829  6.1779  3.5405  2.6063  2.3014  2.2453
 196  1.069030  3.6695  3.1907  0.9075  6.1368  3.4867  2.5482  2.2412  2.1836
 197  1.069298  3.6686  3.1617  0.9331  6.0949  3.4311  2.4880  2.1785  2.1193
 198  1.069561  3.6677  3.1318  0.9594  6.0528  3.3744  2.4263  2.1143  2.0533
 199  1.069815  3.6667  3.1008  0.9865  6.0104  3.3163  2.3630  2.0482  1.9853
 200  1.070063  3.6656  3.0690  1.0143  5.9679  3.2573  2.2984  1.9806  1.9156
 201  1.070300  3.6645  3.0359  1.0430  5.9249  3.1967  2.2317  1.9108  1.8437
